Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t22	6925027800000002e-24	-9950000000276642e-29	-14224530999999958e-25	-54684631000000034e-25	-9230999999989543e-28	3534999999997755e-27	-4697490199999997e-24	-4780439999999952e-26	-25838140999999996e-25	-5409376100000003e-24	217695574e-16	10313110000000143e-26	-3279500000003163e-27	-11567097000000026e-25
Cr6_Obs_t23	69727179e-15	-5595999999997134e-27	-14812157000000027e-24	-5711469399999999e-23	-15329999999758244e-28	28896000000012966e-27	-49023813999999996e-24	-5035239999999698e-25	-26587141999999958e-24	-5439360599999999e-23	15699544800000002e-23	3979032999999986e-24	-2747500000000667e-26	-9849644000000004e-24
Cr6_Obs_t24	34338891e-14	-53359999999804285e-27	-7650083000000002e-23	-29583839999999984e-23	2972000000007711e-26	10703000000020368e-26	-25360608999999996e-23	-262897000000004e-23	-13558446999999975e-23	-2683736199999998e-22	6323305900000002e-22	3912172999999981e-23	-10599999999990845e-26	-3678231999999983e-23
Cr6_Obs_t25	10087970999999994e-22	-2332400000001025e-25	-23652479000000078e-23	-9166972799999999e-22	20842000000006536e-26	21011999999987933e-26	-7843990200000007e-22	-8201620000000352e-24	-41483879000000014e-23	-7908883600000007e-22	13286450300000002e-22	1776891699999997e-22	-22894000000038613e-26	-7059739000000071e-23
Cr6_Obs_t26	19631979999999996e-22	-5745000000002941e-25	-4797744000000012e-22	-18618114e-13	6823999999978303e-25	23249999999847693e-26	-15893661000000013e-22	-16738400000001002e-24	-8354315000000017e-22	-15433977000000022e-22	1701464199999999e-21	44826149999999757e-23	-3270000000003443e-25	-763516e-13
Cr6_Obs_t27	28392209999999985e-22	-948700000000332e-24	-713192199999999e-21	-27692884000000027e-22	14308000000000236e-25	12589999999930367e-26	-23567873000000006e-22	-24974600000000796e-24	-12364584000000023e-22	-2236471400000002e-21	14706394999999992e-22	7492287999999969e-22	-3749000000025771e-25	-50381700000001354e-24
Cr6_Obs_t28	32916831000000016e-22	-1216100000000471e-24	-8692372000000003e-22	-3376195100000002e-21	22176999999999974e-25	-55599999998400744e-27	-2862308500000002e-21	-30502199999998625e-24	-16013648999999998e-22	-26901350000000015e-22	10468661999999978e-22	964666500000002e-21	-40069999999875765e-26	-22241300000002406e-24
Cr6_Obs_t29	36323413999999993e-22	-13664000000014647e-25	-9567802999999992e-22	-3716997999999999e-21	28996999999963768e-25	-26060000000088313e-26	-3137188799999999e-21	-33615200000000064e-24	-17355464000000012e-22	-2945861900000002e-21	7815280999999966e-22	1084917699999999e-21	-42139999999973144e-26	-7067400000001496e-24
Cr6_Obs_t30	3903245900000004e-21	-14528999999997231e-25	-10103581999999988e-22	-3925959799999997e-21	35120000000003824e-25	-4773999999995831e-25	-3297352500000002e-21	-3552869999999772e-23	-17704439000000005e-22	-3106909699999999e-21	6882966999999993e-22	11533703000000026e-22	-4397000000004694e-25	-18696000000014635e-25
Cr6_Obs_t31	4095385e-12	-151949999999991e-23	-10542342999999995e-22	-40973295e-13	4147700000000333e-24	-713299999997688e-24	-34235446999999973e-22	-37100900000000335e-24	-18264267000000013e-22	-3241972800000001e-21	6898943000000009e-22	12057513999999977e-22	-45719999999830555e-26	-5225000000001293e-25
