448011793.0564705	-240810939362.58453	-17735127587.873867	3537315930.1973205	-2955652556.708098	-3727369299.5623784	316120187.21219325	3239371442.899256	1578604407.880053	-611606086.3140979	19050.140974589518	-10257652636.589025	-2463172247.0368195	20466153998.60507
-240810928874.3707	138455323296242.95	9682253586532.838	-2116540629059.755	1646561915164.8716	1896032722204.0393	-174427918911.14047	-1971112533783.5518	-597484087942.6254	323286682153.17633	-13183006.244933639	5636880429859.065	1872278697346.4163	-11474774191774.414
-17735127641.093315	9682254039006.365	716710483606.3306	-140626117176.50824	120675581622.94347	157654153461.38367	-11306697120.818195	-129103819234.83852	-66169472634.24104	24867910881.708847	-752397.7075316511	415363309566.15466	96545952178.1852	-825058393571.8098
3537315584.211694	-2116540522240.4536	-140626102793.27783	34723586219.75494	-23375561783.884647	-17778709428.77173	3371399158.972614	32907012876.737022	4098234226.174709	-4662785869.842778	-46132.5544386897	-80885022167.93425	-35096240996.62375	170634752420.64386
-2955652570.7667046	1646561995020.7988	120675581823.43655	-23375564274.999073	21070290146.105804	31513968559.28881	-1475704850.1998498	-21348124079.813217	-10776908317.85814	4038383262.595732	-98043.52681124872	71156285609.07053	17112301545.94238	-140252446436.1832
-3727369920.6481457	1896033162249.061	157654178015.90598	-17778717620.295322	31513972697.627697	88575594404.94148	1968679815.4813547	-13771815517.867725	-26363921170.020477	4785565765.411499	-324175.19013307785	100294613227.29764	864060427.8908811	-176309435384.94696
316120138.0004527	-174427898180.21423	-11306695103.464499	3371398976.278772	-1475704503.316123	1968680652.8377807	610493244.1293343	3262204559.8509583	-39992516.28555659	-430113634.07815903	-893.2972319732286	-5851500692.423363	-3319868027.2044597	13597219996.000885
3239371071.720718	-1971112406140.1003	-129103803870.64407	32907012446.30981	-21348121424.84632	-13771807502.74492	3262204694.6061187	31359582299.43479	2586539143.775771	-4283646344.0814977	-19204.61592765162	-73989115586.35825	-34414473093.447365	157653579429.47162
1578604864.4872384	-597484376629.3616	-66169490867.581505	4098239098.41829	-10776911407.917162	-26363923236.559177	-39992064.56887554	2586543802.7147045	17956560828.52117	-2740504486.1604037	350674.46331901173	-37856427052.060684	12757964202.175285	63470661098.53415
-611606099.962534	323286704087.48944	24867911359.394733	-4662786454.300015	4038383337.200961	4785565039.769638	-430113709.96746266	-4283646954.1132755	-2740503907.0582066	912701265.700751	-40333.67056846309	14137355492.2327	2523392657.1322165	-27944649187.11696
19050.14460185693	-13183008.92674427	-752397.8504146638	-46132.50297419753	-98043.5508847415	-324175.1839393624	-893.2918496972922	-19204.565236752467	350674.4464320324	-40333.67465405316	3447.7123325801963	-401781.378270518	-481426.95787522366	607097.3493849379
-10257652685.85846	5636880703837.281	415363310299.986	-80885030703.97049	71156285617.11179	100294599072.75403	-5851501880.4362545	-73989124682.53748	-37856416479.68131	14137355238.542213	-401781.2960207812	242868356281.76355	57110247072.29332	-480372708178.9552
-2463171411.4035664	1872278298308.3489	96545918153.35188	-35096236344.39088	17112295717.927725	864048993.3124548	-3319867806.9035788	-34414469142.017586	12757969830.547873	2523391428.986338	-481426.8822467799	57110227117.20128	59142307443.8004	-134528757684.78452
20466153605.522182	-11474774465649.48	-825058375223.246	170634765458.37683	-140252443076.44937	-176309402677.4194	13597222057.833464	157653593905.39563	63470638355.38917	-27944648008.507614	607097.1541034878	-480372696624.4127	-134528794461.07056	964757386163.5262
