Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t24	5771570650000001e-21	-2877499999998432e-25	-6959654799999999e-22	-1153759578e-15	12030100000001034e-25	-17272000000000103e-26	-1642821027e-15	-3477641999999998e-23	-10926097019999998e-22	-1570567663e-15	1617065039e-14	36543283999999983e-23	6029000000006122e-26	-41899418000000004e-23
Cr6_Obs_t25	16910443779999997e-21	-12397500000004992e-25	-2153891120000001e-21	-357178712e-14	386651999999997e-23	-7405200000000784e-25	-507918208e-14	-10780081000000024e-23	-34487053300000006e-22	-47062319700000005e-22	1904814798e-14	16919103699999987e-22	21378999999942795e-26	-8349861699999999e-22
Cr6_Obs_t26	32063539399999995e-21	-29546000000007086e-25	-437208205e-14	-7250773620000001e-21	9392299999998609e-24	-20448000000017257e-25	-10297649630000003e-21	-21902320000000108e-23	-7011991050000001e-21	-9327773600000002e-21	16319793699999998e-21	4347809800000001e-21	3915999999975112e-25	-9319680000000026e-22
Cr6_Obs_t27	45354927799999995e-21	-4784700000002882e-24	-65017877000000026e-22	-1078215363e-14	17291199999998812e-24	-4101200000001061e-24	-1529113161e-14	-3259089000000011e-22	-1038025668e-14	-1368101955e-14	120519394e-13	7361902700000001e-21	3665999999978799e-25	-6293290000000019e-22
Cr6_Obs_t28	53921289800000004e-21	-6087300000001611e-24	-7993515e-12	-1318679583e-14	-7957009999999874e-23	-6621999999999409e-24	-1860898286e-14	-39750550000000005e-23	-12587601009999999e-21	-1660825639e-14	9355830000000002e-21	9545602399999999e-21	16690000000191773e-26	-2824595000000003e-22
Cr6_Obs_t29	5877026760000001e-20	-682860000000346e-23	-8781299000000002e-21	-145052045e-13	-56275299999997005e-24	-9390800000001638e-24	-2044745989e-14	-4378308999999976e-22	-13811347500000001e-21	-1823737431e-14	8401702e-12	10767702100000002e-21	-9100000001246457e-27	-9132610000000392e-23
Cr6_Obs_t30	618636061e-13	-7262599999998076e-24	-9230345999999998e-21	-152921249e-13	10478800000001178e-24	-12375000000001724e-24	-2155179074e-14	-4626671999999986e-22	-14565520599999999e-21	-19235856240000002e-21	8367853999999997e-21	11458252099999999e-21	-924000000006024e-25	-25158399999998373e-24
Cr6_Obs_t31	6448355580000002e-20	-7599600000000814e-24	-9616812399999997e-21	-159494599e-13	37022600000002175e-24	-15650500000001825e-24	-224431425e-13	-4831088999999993e-22	-15191729800000001e-21	-2006728784e-14	8635596099999998e-21	11981954400000002e-21	-12189999999961677e-26	-7952599999998064e-24
Cr6_Obs_t32	6708487240000002e-20	-7924099999998442e-24	-10009852699999997e-21	-166043218e-13	4328890000000089e-23	-19250399999997074e-24	-23313499329999998e-21	-5032473999999971e-22	-15810732999999998e-21	-20892449029999997e-21	8977819800000004e-21	12483343500000007e-21	-1352999999974032e-25	-29038999999946716e-25
Cr6_Obs_t33	697539493e-13	-8254300000001924e-24	-10412579500000003e-21	-172750923e-13	497510000000026e-22	-2315690000000337e-23	-2420125662e-14	-5238903000000035e-22	-164455179e-13	-2173824479e-14	93508615e-13	12992870399999995e-21	-1443000000004045e-25	-11133000000002592e-25
Cr6_Obs_t34	725163051e-13	-859490000000078e-23	-10829277199999997e-21	-17969158899999997e-21	56908899999999925e-24	-27391699999995667e-24	-25116940869999998e-21	-5452700000000018e-22	-171026831e-13	-22613680699999996e-21	9743319500000002e-21	13518688400000002e-21	-15139999999439597e-26	-501199999996979e-24
Cr6_Obs_t35	75383371e-12	-8948300000003717e-24	-11261947399999998e-21	-18689832000000003e-21	648144999999969e-22	-3197580000000356e-23	-26064954150000004e-21	-5674893000000006e-22	-17785118800000002e-21	-2352285725e-14	10151300899999998e-21	14064176899999997e-21	-1581999999978871e-25	-30149999999889927e-26
Cr6_Obs_t36	7836116149999998e-20	-9315200000002685e-24	-11711519600000001e-21	-194387237e-13	7362539999999772e-23	-36928800000004965e-24	-27047369270000002e-21	-5906003000000048e-22	-18494306600000003e-21	-2446781908e-14	10574146499999993e-21	14630897900000005e-21	-16500000000137824e-26	-2420000000011744e-25
Cr6_Obs_t37	814536584e-13	-9696100000001616e-24	-12178531999999998e-21	-20216827199999996e-21	8353869999999949e-23	-4227009999999403e-23	-28065408519999997e-21	-6146367999999971e-22	-19231218599999995e-21	-2544985883e-14	11012703999999998e-21	152197541e-13	-1720000000013597e-25	-2289999999963686e-25
Cr6_Obs_t38	8466418359999999e-20	-10091599999998452e-24	-126634323e-13	-21024968400000002e-21	9472080000000019e-23	-4801999999999992e-23	-2912003021e-14	-6396278000000024e-22	-19996678e-12	-2647005634e-14	11468539499999997e-21	158314419e-13	-179300000004547e-24	-23140000000083943e-26
Cr6_Obs_t39	8799614889999998e-20	-10501500000000936e-24	-13166738500000003e-21	-218640387e-13	10725809999999985e-23	-5420070000000153e-23	-30212209510000004e-21	-665602900000005e-21	-20791545200000002e-21	-27529556610000004e-21	11943446699999994e-21	16466659399999994e-21	-18679999999998947e-26	-23870000000402673e-26
Cr6_Obs_t40	91453486e-12	-10926000000001325e-24	-13689115700000005e-21	-22735113900000005e-21	12114530000000253e-23	-6083829999999823e-23	-3134308219e-14	-6925967999999977e-22	-216168199e-13	-286297162e-13	12439127199999996e-21	171262068e-13	-1945000000003926e-25	-24790000000351835e-26
Cr6_Obs_t41	950408499e-13	-11365699999993324e-24	-14231389199999997e-21	-236394906e-13	1363129999999979e-22	-6796319999999867e-23	-32514002409999996e-21	-7206500999999962e-22	-224736845e-13	-29772155899999997e-21	129570204e-13	17811026599999997e-21	-20260000000224673e-26	-2579999999956868e-25
Cr6_Obs_t42	9876361180000001e-20	-11821700000004217e-24	-14794512800000003e-21	-24578664500000002e-21	15267380000000346e-23	-7560930000000088e-23	-33726537020000004e-21	-7498096000000052e-22	-233634997e-13	-309587442e-13	13498268699999996e-21	18522202099999994e-21	-21109999999708153e-26	-26870000000273726e-26
Cr6_Obs_t43	0.00010262773569999999	-12295399999992496e-24	-15379521799999994e-21	-25554278199999997e-21	1701657000000061e-22	-8381319999998938e-23	-3498242168e-14	-7801271999999949e-22	-24287771399999995e-21	-321915409e-13	14063771900000011e-21	19260930700000004e-21	-21989999999512215e-26	-27979999999429804e-26
Cr6_Obs_t44	0.00010663958930000001	-12788500000004562e-24	-159874885e-13	-265680635e-13	18877730000000257e-23	-9261349999999833e-23	-3628350252e-14	-811658099999996e-21	-252481061e-13	-334727308e-13	146542884e-13	20028488599999997e-21	-22900000000483894e-26	-29140000000249565e-26
Cr6_Obs_t45	0.00011080578199999999	-13302200000002415e-24	-166194939e-13	-27621797200000005e-21	20855350000000115e-23	-10205030000001013e-23	-3763168467000001e-20	-8444600000000126e-22	-26246171200000007e-21	-34804569300000006e-21	15270535299999993e-21	20826199799999994e-21	-23860000000578156e-26	-3035000000019191e-25
Cr6_Obs_t46	0.00011513304510000003	-1383749999999392e-23	-17276615699999992e-21	-287172757e-13	2295851000000009e-22	-11216550000000102e-23	-3902889699999999e-20	-878591599999997e-21	-27283668699999995e-21	-361893488e-13	15913263100000003e-21	21655415300000002e-21	-2483999999947442e-25	-3159999999943232e-25
Cr6_Obs_t47	0.00011962818240000001	-1439449999999426e-23	-17959930299999997e-21	-29856309399999995e-21	25199250000000655e-23	-12300339999999828e-23	-40477077e-12	-9141127999999993e-22	-2836232319999999e-20	-37629387299999995e-21	16583299400000005e-21	2251750290000001e-20	-2586999999918733e-25	-329099999993139e-24
Cr6_Obs_t48	0.00012429805849999996	-14973599999996417e-24	-186705232e-13	-310407284e-13	2759101000000059e-22	-13460999999999938e-23	-419781695e-13	-951084500000001e-21	-294838825e-13	-391270318e-13	17281566800000004e-21	23413846400000012e-21	-2694999999971689e-25	-3427999999983664e-25
Cr6_Obs_t49	0.0001291496233	-15575199999993372e-24	-19409499699999993e-21	-3227239379999999e-20	3014759000000083e-22	-14703399999999674e-23	-435341347e-13	-9895683999999953e-22	-3065012439999999e-20	-4068467069999999e-20	18009082200000014e-21	2434585100000001e-20	-2806999999954452e-25	-3569999999948197e-25
Cr6_Obs_t50	0.00013418995219999997	-16200099999996498e-24	-20177993799999993e-21	-3355321059999999e-20	3288262000000105e-22	-1603264999999915e-22	-4514695949999999e-20	-10296280999999925e-22	-3186286599999999e-20	-423047481e-13	18766948300000004e-21	2531495030000002e-20	-29239999999341765e-26	-3717999999892143e-25
Cr6_Obs_t51	0.00013942628069999998	-1684920000000694e-23	-20977174500000007e-21	-3488513830000001e-20	3580954999999985e-22	-17454170000000662e-23	-46818667700000004e-21	-10713289000000072e-22	-33123973700000004e-21	-43989777200000004e-21	19556345699999992e-21	26322614799999995e-21	-3045000000013114e-25	-3872000000069612e-25
Cr6_Obs_t52	0.000144866041	-17524100000013563e-24	-21808250900000004e-21	-3627019990000001e-20	38941709999998795e-23	-18973700000000045e-23	-48551330400000006e-21	-11147384000000051e-22	-34435371800000006e-21	-4574235250000001e-20	20378523100000003e-21	27370358599999993e-21	-31720000000714653e-26	-40330000000395397e-26
Cr6_Obs_t53	0.0001505168834	-1822600000000378e-23	-22672475999999998e-21	-37710488800000004e-21	4229259999999984e-22	-20597279999999728e-23	-503470728e-13	-11599262000000016e-22	-357990489e-13	-4756515810000001e-20	21234791699999995e-21	2845974599999999e-20	-3303000000059623e-25	-41999999999888806e-26
Cr6_Obs_t54	0.0001563867019	-18956499999991862e-24	-23571149799999985e-21	-39208174899999995e-21	45876060000000674e-23	-22331329999999705e-23	-52208080799999984e-21	-12069649999999912e-22	-3721706459999999e-20	-4946097659999999e-20	22126521000000003e-21	29592395200000015e-21	-34399999998577875e-26	-43739999999000865e-26
Cr6_Obs_t55	0.00016248364540000001	-19716399999989185e-24	-24505620799999985e-21	-4076550799999998e-20	4970656000000064e-22	-2418251999999982e-22	-5413660439999999e-20	-1255929999999993e-21	-38691553599999995e-21	-5143269319999999e-20	2305514000000001e-20	3076998240000001e-20	-35829999999741785e-26	-4554999999942564e-25
Cr6_Obs_t56	0.00016881613130000002	-205069000000001e-22	-25477289600000004e-21	-42384822200000005e-21	5379925999999966e-22	-26157909999999e-20	-56134961899999995e-21	-13068995999999945e-22	-40224730399999996e-21	-53483303e-12	24022138000000006e-21	31994243300000005e-21	-37319999999852794e-26	-4744999999996513e-25
Cr6_Obs_t57	0.00017539286150000002	-21328400000000648e-24	-26487609099999996e-21	-440685387e-13	5817017000000056e-22	-282648899999997e-21	-582055412e-13	-13599548999999958e-22	-4181889229999999e-20	-556159143e-13	25029065499999996e-21	332669775e-13	-3885999999993342e-25	-4941000000029875e-25
Cr6_Obs_t58	0.00018222282300000002	-2218209999998671e-23	-27538088000000004e-21	-458191698e-13	6283617000000103e-22	-3051132000000037e-22	-60350802899999995e-21	-14151807999999977e-22	-4347642379999999e-20	-57833754300000004e-21	26077531000000004e-21	3459004700000001e-20	-40479999999457213e-26	-5146999999972458e-25
Cr6_Obs_t59	0.00018931530500000001	-2306859999998164e-23	-28630290999999988e-21	-4763932139999999e-20	6781521000000034e-22	-32905469999998174e-23	-6257328169999998e-20	-14726648999999962e-22	-4519979829999999e-20	-601401714e-13	2716920800000002e-20	3596538100000001e-20	-4214999999895062e-25	-5359999999961609e-25
Cr6_Obs_t60	0.0001966798976	-23989300000003223e-24	-29765841900000002e-21	-49531697199999994e-21	7312636999999908e-22	-3545610999999931e-22	-648755886e-13	-15324987999999933e-22	-4699158250000001e-20	-6253864159999999e-20	28305832600000003e-21	37394980599999985e-21	-43900000000428297e-26	-5582000000131637e-25
Cr6_Obs_t61	0.00020432650470000004	-24945399999996517e-24	-309464241e-13	-51499101100000004e-21	7879002000000063e-22	-3817247999999918e-22	-672604123e-13	-15947771999999871e-22	-48854438e-12	-650327719e-13	29489206700000013e-21	388809157e-13	-4572000000067759e-25	-5813999999956776e-25
Cr6_Obs_t62	0.00021226534590000002	-25937900000011738e-24	-3217378320000001e-20	-535444413e-13	8482780999999947e-22	-41064340000001e-20	-6973052120000001e-20	-16595988000000077e-22	-5079112550000001e-20	-6762630570000002e-20	307212039e-13	40425331899999976e-21	-4762000000121708e-25	-60550000001322e-23
Cr6_Obs_t63	0.0002205069691	-2696830000000562e-23	-33449729100000004e-21	-5567073360000001e-20	9126283999999848e-22	-44141930000001254e-23	-7228876460000001e-20	-1727066100000018e-21	-5280450800000001e-20	-703231273e-13	32003769099999993e-21	42030451099999994e-21	-4959000000052819e-25	-6306000000132141e-25
Cr6_Obs_t64	0.0002290622566	-2803739999998107e-23	-347761381e-13	-578811052e-13	9811965000000072e-22	-47415979999999695e-23	-749380743e-13	-17972854999999975e-22	-5489755449999999e-20	-7312726639999998e-20	3333892060000001e-20	43698570600000017e-21	-5162999999861091e-25	-6566999999956598e-25
